,Compound,Date,Negative,Neutral,Positive,Sources,Tweets Ago
116,0.6322,Mon Jun 04 19:30:09 +0000 2018,0.0,0.828,0.172,@CBSNews,17
117,0.4215,Mon Jun 04 19:14:35 +0000 2018,0.0,0.865,0.135,@CBSNews,18
118,0.5423,Mon Jun 04 19:07:49 +0000 2018,0.0,0.769,0.231,@CBSNews,19
119,0.0,Mon Jun 04 19:01:09 +0000 2018,0.0,1.0,0.0,@CBSNews,20
120,0.34,Mon Jun 04 18:53:02 +0000 2018,0.0,0.882,0.118,@CBSNews,21
121,0.3612,Mon Jun 04 18:51:41 +0000 2018,0.0,0.821,0.179,@CBSNews,22
122,0.3724,Mon Jun 04 18:47:04 +0000 2018,0.0,0.862,0.138,@CBSNews,23
123,0.3182,Mon Jun 04 18:29:56 +0000 2018,0.0,0.892,0.108,@CBSNews,24
124,-0.4767,Mon Jun 04 18:15:02 +0000 2018,0.205,0.795,0.0,@CBSNews,25
125,-0.3919,Mon Jun 04 17:59:36 +0000 2018,0.117,0.883,0.0,@CBSNews,26
126,0.0,Mon Jun 04 17:45:13 +0000 2018,0.0,1.0,0.0,@CBSNews,27
127,-0.5574,Mon Jun 04 17:32:04 +0000 2018,0.141,0.859,0.0,@CBSNews,28
128,0.0,Mon Jun 04 17:04:45 +0000 2018,0.0,1.0,0.0,@CBSNews,29
129,-0.3612,Mon Jun 04 16:51:37 +0000 2018,0.135,0.865,0.0,@CBSNews,30
130,-0.6808,Mon Jun 04 16:35:01 +0000 2018,0.237,0.763,0.0,@CBSNews,31
131,0.4767,Mon Jun 04 16:29:39 +0000 2018,0.0,0.819,0.181,@CBSNews,32
132,-0.6086,Mon Jun 04 16:20:19 +0000 2018,0.247,0.648,0.104,@CBSNews,33
133,-0.9001,Mon Jun 04 16:14:55 +0000 2018,0.458,0.542,0.0,@CBSNews,34
134,-0.4019,Mon Jun 04 16:01:09 +0000 2018,0.124,0.876,0.0,@CBSNews,35
135,0.0,Mon Jun 04 15:49:29 +0000 2018,0.0,1.0,0.0,@CBSNews,36
136,0.5574,Mon Jun 04 15:29:31 +0000 2018,0.0,0.769,0.231,@CBSNews,37
137,-0.4019,Mon Jun 04 15:27:16 +0000 2018,0.137,0.863,0.0,@CBSNews,38
138,-0.296,Mon Jun 04 15:25:45 +0000 2018,0.104,0.896,0.0,@CBSNews,39
139,-0.836,Mon Jun 04 15:22:54 +0000 2018,0.331,0.669,0.0,@CBSNews,40
140,0.296,Mon Jun 04 15:14:35 +0000 2018,0.0,0.891,0.109,@CBSNews,41
141,0.5327,Mon Jun 04 14:59:39 +0000 2018,0.107,0.599,0.294,@CBSNews,42
142,0.5267,Mon Jun 04 14:44:56 +0000 2018,0.137,0.566,0.297,@CBSNews,43
143,-0.4588,Mon Jun 04 14:32:29 +0000 2018,0.218,0.677,0.105,@CBSNews,44
144,-0.802,Mon Jun 04 14:29:33 +0000 2018,0.419,0.581,0.0,@CBSNews,45
145,0.1655,Mon Jun 04 14:14:34 +0000 2018,0.0,0.912,0.088,@CBSNews,46
146,0.0,Mon Jun 04 14:01:02 +0000 2018,0.0,1.0,0.0,@CBSNews,47
147,0.0,Mon Jun 04 14:00:01 +0000 2018,0.0,1.0,0.0,@CBSNews,48
148,0.0,Mon Jun 04 13:45:26 +0000 2018,0.0,1.0,0.0,@CBSNews,49
149,-0.5267,Mon Jun 04 13:29:35 +0000 2018,0.139,0.861,0.0,@CBSNews,50
150,-0.4497,Mon Jun 04 13:14:45 +0000 2018,0.129,0.871,0.0,@CBSNews,51
151,0.6808,Mon Jun 04 13:00:48 +0000 2018,0.052,0.652,0.296,@CBSNews,52
152,0.8074,Mon Jun 04 12:58:23 +0000 2018,0.0,0.687,0.313,@CBSNews,53
153,0.2732,Mon Jun 04 12:56:14 +0000 2018,0.0,0.884,0.116,@CBSNews,54
154,0.0,Mon Jun 04 12:52:45 +0000 2018,0.0,1.0,0.0,@CBSNews,55
155,0.0,Mon Jun 04 12:41:58 +0000 2018,0.0,1.0,0.0,@CBSNews,56
156,0.0,Mon Jun 04 12:40:38 +0000 2018,0.0,1.0,0.0,@CBSNews,57
157,0.0,Mon Jun 04 12:20:45 +0000 2018,0.0,1.0,0.0,@CBSNews,58
158,0.5106,Mon Jun 04 12:20:30 +0000 2018,0.0,0.769,0.231,@CBSNews,59
159,-0.5267,Mon Jun 04 12:11:22 +0000 2018,0.237,0.647,0.115,@CBSNews,60
160,0.1779,Mon Jun 04 12:07:44 +0000 2018,0.0,0.914,0.086,@CBSNews,61
161,0.0,Mon Jun 04 12:06:13 +0000 2018,0.0,1.0,0.0,@CBSNews,62
162,0.128,Mon Jun 04 12:05:41 +0000 2018,0.147,0.681,0.173,@CBSNews,63
163,0.4767,Mon Jun 04 12:00:41 +0000 2018,0.0,0.819,0.181,@CBSNews,64
164,0.0,Mon Jun 04 11:58:46 +0000 2018,0.0,1.0,0.0,@CBSNews,65
165,-0.34,Mon Jun 04 11:43:25 +0000 2018,0.098,0.902,0.0,@CBSNews,66
166,-0.5423,Mon Jun 04 11:40:38 +0000 2018,0.241,0.759,0.0,@CBSNews,67
167,0.0,Mon Jun 04 11:39:59 +0000 2018,0.0,1.0,0.0,@CBSNews,68
168,0.0,Mon Jun 04 11:38:40 +0000 2018,0.0,1.0,0.0,@CBSNews,69
169,-0.6705,Mon Jun 04 11:35:49 +0000 2018,0.209,0.791,0.0,@CBSNews,70
170,0.0,Mon Jun 04 11:34:51 +0000 2018,0.0,1.0,0.0,@CBSNews,71
171,-0.34,Mon Jun 04 11:21:19 +0000 2018,0.103,0.897,0.0,@CBSNews,72
172,0.0,Mon Jun 04 11:16:59 +0000 2018,0.0,1.0,0.0,@CBSNews,73
173,0.4019,Mon Jun 04 11:15:22 +0000 2018,0.0,0.856,0.144,@CBSNews,74
174,-0.4588,Mon Jun 04 11:10:11 +0000 2018,0.143,0.857,0.0,@CBSNews,75
175,0.0,Mon Jun 04 11:08:44 +0000 2018,0.0,1.0,0.0,@CBSNews,76
176,-0.4939,Mon Jun 04 11:05:54 +0000 2018,0.167,0.833,0.0,@CBSNews,77
177,0.4215,Mon Jun 04 11:01:01 +0000 2018,0.0,0.865,0.135,@CBSNews,78
178,0.0,Mon Jun 04 10:40:49 +0000 2018,0.0,1.0,0.0,@CBSNews,79
179,0.1779,Mon Jun 04 10:21:11 +0000 2018,0.072,0.821,0.108,@CBSNews,80
180,-0.6908,Mon Jun 04 10:03:06 +0000 2018,0.289,0.711,0.0,@CBSNews,81
181,0.0,Mon Jun 04 09:48:05 +0000 2018,0.0,1.0,0.0,@CBSNews,82
182,0.2263,Mon Jun 04 09:33:05 +0000 2018,0.0,0.84,0.16,@CBSNews,83
183,0.0,Mon Jun 04 09:18:05 +0000 2018,0.0,1.0,0.0,@CBSNews,84
184,0.128,Mon Jun 04 09:03:05 +0000 2018,0.127,0.718,0.155,@CBSNews,85
185,0.4215,Mon Jun 04 08:48:03 +0000 2018,0.0,0.714,0.286,@CBSNews,86
186,0.6705,Mon Jun 04 08:33:05 +0000 2018,0.0,0.744,0.256,@CBSNews,87
187,-0.34,Mon Jun 04 08:18:03 +0000 2018,0.156,0.844,0.0,@CBSNews,88
188,0.0,Mon Jun 04 08:03:05 +0000 2018,0.0,1.0,0.0,@CBSNews,89
189,0.4191,Mon Jun 04 07:48:04 +0000 2018,0.0,0.76,0.24,@CBSNews,90
190,-0.5574,Mon Jun 04 07:33:04 +0000 2018,0.235,0.765,0.0,@CBSNews,91
191,0.0,Mon Jun 04 07:18:03 +0000 2018,0.0,1.0,0.0,@CBSNews,92
192,0.8074,Mon Jun 04 07:03:03 +0000 2018,0.0,0.657,0.343,@CBSNews,93
193,0.0,Mon Jun 04 06:49:05 +0000 2018,0.0,1.0,0.0,@CBSNews,94
194,-0.5994,Mon Jun 04 06:48:04 +0000 2018,0.231,0.769,0.0,@CBSNews,95
195,-0.4215,Mon Jun 04 06:33:03 +0000 2018,0.275,0.725,0.0,@CBSNews,96
196,-0.6705,Mon Jun 04 06:18:04 +0000 2018,0.257,0.743,0.0,@CBSNews,97
197,0.0,Mon Jun 04 06:03:04 +0000 2018,0.0,1.0,0.0,@CBSNews,98
198,-0.34,Mon Jun 04 05:48:04 +0000 2018,0.194,0.806,0.0,@CBSNews,99
199,-0.6887,Mon Jun 04 05:33:04 +0000 2018,0.298,0.702,0.0,@CBSNews,100
200,-0.7096,Tue Jun 05 00:52:54 +0000 2018,0.349,0.651,0.0,@FoxNews,1
201,0.5106,Tue Jun 05 00:47:00 +0000 2018,0.0,0.798,0.202,@FoxNews,2
202,0.8176,Tue Jun 05 00:41:48 +0000 2018,0.0,0.653,0.347,@FoxNews,3
203,0.0,Tue Jun 05 00:36:59 +0000 2018,0.0,1.0,0.0,@FoxNews,4
204,0.8625,Tue Jun 05 00:27:38 +0000 2018,0.0,0.51,0.49,@FoxNews,5
205,-0.0516,Tue Jun 05 00:23:04 +0000 2018,0.066,0.934,0.0,@FoxNews,6
206,-0.5423,Tue Jun 05 00:14:00 +0000 2018,0.226,0.774,0.0,@FoxNews,7
207,0.0,Tue Jun 05 00:11:29 +0000 2018,0.0,1.0,0.0,@FoxNews,8
208,0.4404,Tue Jun 05 00:08:53 +0000 2018,0.0,0.868,0.132,@FoxNews,9
209,-0.4939,Tue Jun 05 00:05:42 +0000 2018,0.138,0.862,0.0,@FoxNews,10
210,0.4767,Tue Jun 05 00:03:34 +0000 2018,0.0,0.819,0.181,@FoxNews,11
211,-0.6705,Tue Jun 05 00:00:34 +0000 2018,0.314,0.686,0.0,@FoxNews,12
212,-0.4019,Mon Jun 04 23:57:21 +0000 2018,0.172,0.828,0.0,@FoxNews,13
213,0.2732,Mon Jun 04 23:48:15 +0000 2018,0.0,0.896,0.104,@FoxNews,14
214,0.0,Mon Jun 04 23:44:52 +0000 2018,0.0,1.0,0.0,@FoxNews,15
215,0.6652,Mon Jun 04 23:41:44 +0000 2018,0.0,0.801,0.199,@FoxNews,16
216,-0.6597,Mon Jun 04 23:36:51 +0000 2018,0.351,0.649,0.0,@FoxNews,17
217,0.2617,Mon Jun 04 23:30:58 +0000 2018,0.0,0.918,0.082,@FoxNews,18
218,-0.3818,Mon Jun 04 23:22:40 +0000 2018,0.12,0.88,0.0,@FoxNews,19
219,0.0,Mon Jun 04 23:16:20 +0000 2018,0.0,1.0,0.0,@FoxNews,20
220,-0.296,Mon Jun 04 23:11:32 +0000 2018,0.167,0.833,0.0,@FoxNews,21
221,0.5574,Mon Jun 04 23:07:00 +0000 2018,0.0,0.777,0.223,@FoxNews,22
222,-0.0516,Mon Jun 04 22:57:03 +0000 2018,0.089,0.833,0.078,@FoxNews,23
223,0.0,Mon Jun 04 22:52:01 +0000 2018,0.0,1.0,0.0,@FoxNews,24
224,-0.5106,Mon Jun 04 22:41:11 +0000 2018,0.202,0.798,0.0,@FoxNews,25
225,-0.8658,Mon Jun 04 22:33:12 +0000 2018,0.42,0.58,0.0,@FoxNews,26
226,-0.296,Mon Jun 04 22:26:04 +0000 2018,0.285,0.506,0.209,@FoxNews,27
227,0.0,Mon Jun 04 22:19:31 +0000 2018,0.0,1.0,0.0,@FoxNews,28
228,0.0772,Mon Jun 04 22:12:57 +0000 2018,0.0,0.929,0.071,@FoxNews,29
229,-0.7269,Mon Jun 04 22:08:35 +0000 2018,0.264,0.736,0.0,@FoxNews,30
230,-0.296,Mon Jun 04 22:03:00 +0000 2018,0.115,0.885,0.0,@FoxNews,31
231,0.6369,Mon Jun 04 21:55:53 +0000 2018,0.0,0.811,0.189,@FoxNews,32
232,0.3182,Mon Jun 04 21:40:00 +0000 2018,0.0,0.892,0.108,@FoxNews,33
